Hash,Letter,Phylo,T1,T2,T3,T4,T5,T6,
4MlBpacqKAl,A,Bacteria; Cyanobacteria/Chloroplast; Cyanobacteria; Family_IX; GpIX; NA; NA,Bacteria, Cyanobacteria/Chloroplast, Cyanobacteria, Family_IX, GpIX, NA,
yvrSPcADev,B,Bacteria; Cyanobacteria/Chloroplast; Cyanobacteria; Family_X; GpX; NA; NA,Bacteria, Cyanobacteria/Chloroplast, Cyanobacteria, Family_X, GpX, NA,
KG8bnWviBiC,C,Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseivivax; NA,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseivivax,
5aXrP6pobbY,D,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Corynebacteriaceae; Corynebacterium; NA,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium,
9NdRMEtZGpS,E,Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Salinicoccus; NA,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Salinicoccus,
2Jf5FM59Z8Q,F,Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Variovorax; NA,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Variovorax,
8jvh0iRf3Rr,G,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Micrococcaceae; Kocuria; NA,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, Kocuria,
22snzzJBoy7,H,Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Chitinophagaceae; Gracilimonas; NA,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Chitinophagaceae, Gracilimonas,
K9WrXoXxC0z,I,Bacteria; Proteobacteria; Alphaproteobacteria; SAR11; Candidatus_Pelagibacter; NA; NA,Bacteria, Proteobacteria, Alphaproteobacteria, SAR11, Candidatus_Pelagibacter,,
HncKIaHYigf,J,Bacteria; Cyanobacteria/Chloroplast; Cyanobacteria; Family_IX; GpIX; NA; NA,Bacteria, Cyanobacteria/Chloroplast, Cyanobacteria, Family_IX, GpIX,,